OTU;all_fltr;fltr_micro;fltr_susp;micro_fltr;susp_fltr;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-66662;1;1;0;1;0;3259;3.51308436;55.47945205
OTU-5022;1;1;1;0;0;362;2.558708571;53.42465753
OTU-292;1;1;1;1;0;6529;3.814846669;89.04109589
OTU-407;1;1;1;0;1;765;2.883661435;45.20547945
OTU-27364;1;1;1;0;1;529;2.723455672;15.75342466
OTU-82;1;1;1;1;1;2907;3.463445032;91.78082192
OTU-15125;1;1;1;0;1;222;2.346352974;36.30136986
OTU-24573;1;1;1;0;0;266;2.424881637;15.06849315
OTU-395;1;1;1;0;0;624;2.79518459;86.98630137
OTU-342;1;1;1;0;0;684;2.835056102;85.61643836
OTU-426;1;1;1;1;0;1811;3.25791845;91.09589041
OTU-156;1;1;1;1;0;3135;3.496237545;87.67123288
OTU-32;1;1;1;1;0;2023;3.305995883;92.46575342
OTU-709;1;1;1;1;0;4508;3.653983907;91.78082192
