OTU;all_fltr;fltr_micro;fltr_susp;micro_fltr;susp_fltr;ASV total abundance;ASV total abundance (log10);Prevalence;Kingdom;Phylum;Class;Order;Family;Genus;Species
OTU-17126;1;1;1;1;0;9496;3.977540706;86.98630137;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;NA
OTU-756;1;1;1;1;0;403;2.605305046;77.39726027;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__
OTU-16;1;1;1;1;0;6237;3.794975744;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__;s__
OTU-35999;1;1;1;1;0;1620;3.209515015;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Lutibacterium;s__
OTU-100;1;1;1;1;0;3012;3.478854968;89.04109589;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__alaskensis
OTU-373;1;1;1;1;1;3473;3.540704783;92.46575342;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;NA
OTU-15981;1;1;1;1;0;1114;3.046885191;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;NA;NA;NA
OTU-45;1;1;1;1;1;9024;3.955399087;85.61643836;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Pseudochrobactrum;s__
OTU-53752;1;1;1;1;1;1271;3.104145551;77.39726027;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum;s__
OTU-5733;1;1;1;1;1;1269;3.103461622;85.61643836;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum;NA
OTU-60945;1;1;1;1;1;940;2.973127854;48.63013699;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum;NA
OTU-50745;1;1;1;1;0;282;2.450249108;45.89041096;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;NA;NA
OTU-2864;1;1;1;1;0;1399;3.145817714;93.83561644;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;NA;NA
OTU-10822;1;1;1;1;0;1900;3.278753601;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;NA;NA
OTU-665;1;1;1;1;0;560;2.748188027;82.87671233;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;NA;NA
OTU-26284;1;1;1;1;0;1143;3.05804623;84.24657534;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__;s__
OTU-167;1;1;1;1;1;5426;3.734479789;95.89041096;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__
OTU-1673;1;1;1;1;0;1870;3.271841607;88.35616438;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__
OTU-757;1;1;1;1;0;4573;3.660201201;95.89041096;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;NA;NA
OTU-30;1;1;1;1;0;9919;3.99646789;92.46575342;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;NA;NA
OTU-27;1;1;1;1;0;4885;3.688864568;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
OTU-261;1;1;1;1;0;1014;3.006037955;86.98630137;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
OTU-5044;1;1;0;1;0;196;2.292256071;44.52054795;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
OTU-67734;1;1;1;1;0;2417;3.38327665;83.56164384;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
OTU-52161;1;1;0;1;0;2107;3.323664536;86.30136986;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
OTU-776;1;1;1;1;0;4766;3.678154038;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
OTU-807;1;1;0;1;0;643;2.808210973;81.50684932;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;NA;NA
OTU-13;1;1;1;0;0;358;2.553883027;63.69863014;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__
OTU-1177;1;1;1;0;1;996;2.998259338;88.35616438;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__
OTU-11651;1;1;1;0;1;556;2.745074792;55.47945205;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
OTU-60;1;1;1;0;0;754;2.877371346;86.30136986;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
OTU-412;1;1;1;1;1;4809;3.682054777;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__
OTU-26860;1;1;1;0;1;456;2.658964843;48.63013699;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
OTU-1708;1;1;1;0;0;456;2.658964843;72.60273973;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
OTU-19911;1;1;1;0;1;912;2.959994838;67.80821918;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
OTU-4773;1;1;1;0;1;485;2.685741739;54.10958904;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
OTU-512;1;1;1;1;0;1346;3.12904506;91.78082192;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__organophilum
OTU-47;1;1;1;1;1;6789;3.831805809;92.46575342;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;s__
