"""OTU"",""all"",""t0"",""micro"",""susp"",""all_fltr"",""fltr_t0"",""fltr_micro"",""fltr_susp"",""micro_fltr"",""susp_fltr"",""ASV total abundance"",""ASV total abundance (log10)"",""Prevalence"",""Kingdom"",""Phylum"",""Class"",""Order"",""Family"",""Genus"",""Species"""
"OTU-6754,1,1,1,1,0,0,0,0,0,0,139,2.14301480025409,48.6301369863014,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Rhodobacteraceae"",""g__Rhodobacter"",""s__"""
"OTU-5117,1,1,1,0,0,0,0,0,0,0,108,2.03342375548695,50.6849315068493,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",NA,NA,NA,NA"
"OTU-20172,1,1,1,1,0,0,0,0,0,0,43,1.63346845557959,23.2876712328767,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Sphingomonadales"",""f__Sphingomonadaceae"",NA,NA"
"OTU-15834,1,1,1,1,0,0,0,0,0,0,148,2.17026171539496,59.5890410958904,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Sphingomonadales"",""f__Sphingomonadaceae"",NA,NA"
"OTU-45181,1,1,1,1,1,1,1,1,0,1,349,2.54282542695918,45.8904109589041,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Sphingomonadales"",""f__Sphingomonadaceae"",""g__Kaistobacter"",""s__"""
"OTU-24199,1,1,1,1,0,0,0,0,0,0,29,1.46239799789896,17.8082191780822,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",NA,NA,NA,NA"
"OTU-50925,1,1,1,0,0,0,0,0,0,0,79,1.89762709129044,40.4109589041096,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Sphingomonadales"",NA,NA,NA"
"OTU-29244,1,1,1,1,0,0,0,0,0,0,116,2.06445798922692,44.5205479452055,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Sphingomonadales"",""f__Sphingomonadaceae"",NA,NA"
"OTU-5159,1,1,1,1,0,0,0,0,0,0,171,2.23299611039215,63.6986301369863,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Sphingomonadales"",""f__Sphingomonadaceae"",NA,NA"
"OTU-1900,1,1,1,1,0,0,0,0,0,0,72,1.85733249643127,32.1917808219178,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Hyphomonadaceae"",""g__"",""s__"""
"OTU-6056,1,1,1,0,0,0,0,0,0,0,396,2.59769518592551,74.6575342465753,""k__Bacteria"",""p__Proteobacteria"",""c__Alphaproteobacteria"",""o__Rhodobacterales"",""f__Hyphomonadaceae"",""g__"",""s__"""
