OTU;T0;Ctrl;US;pH2;pH11;Ox1;Ox2;FT;A1;A2;A3;F1;F2;F3;Fun1;Fun2;Pro;Na;HS;UV;C_C;C_Ox1;Ox1_Ox1;C_A1;A1_A1;C_A3;A3_A3;C_HS;HS_HS;C_pH2;pH2_pH2;C_pH11;pH11_pH11;C_F3;F3_F3;C_Fun1;Fun1_Fun1;C_Pro;Pro_Pro;C_UV;UV_UV;A1_A3;A1_HS;A3_HS;ASV total abundance;ASV total abundance (log10);Prevalence
OTU-160147;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;34;1.531478917;13.63636364
OTU-54913;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;398;2.599883072;93.18181818
OTU-131382;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;448;2.651278014;97.72727273
OTU-219;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;11398;4.056828653;100
OTU-9767;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;225;2.352182518;95.45454545
OTU-20556;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;101;2.004321374;88.63636364
OTU-126561;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;307;2.487138375;97.72727273
OTU-14080;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;924;2.965671971;100
OTU-177724;1;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;149;2.173186268;45.45454545
OTU-85007;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;101;2.004321374;22.72727273
OTU-132130;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;626;2.796574333;97.72727273
OTU-105938;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;229;2.359835482;79.54545455
OTU-141055;0;1;0;0;0;0;1;1;1;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;109;2.037426498;79.54545455
OTU-130820;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;454;2.657055853;88.63636364
OTU-340;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;0;1;0;1;0;105;2.021189299;70.45454545
OTU-19384;1;1;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;1;1;1;84;1.924279286;47.72727273
OTU-164660;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;223;2.348304863;84.09090909
OTU-107264;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;285;2.45484486;95.45454545
OTU-10407;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;147;2.167317335;93.18181818
OTU-138337;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;1;0;1;66;1.819543936;54.54545455
OTU-18462;0;0;1;0;0;1;0;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;88;1.944482672;70.45454545
OTU-125383;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;143;2.155336037;84.09090909
OTU-222;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;12148;4.084504783;95.45454545
OTU-101235;0;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;174;2.240549248;75
OTU-202470;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;597;2.775974331;86.36363636
OTU-150713;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;17;1.230448921;31.81818182
OTU-184135;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;1;61;1.785329835;29.54545455
OTU-174192;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;166;2.220108088;38.63636364
OTU-4034;0;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;179;2.252853031;63.63636364
OTU-91939;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1125;3.051152522;88.63636364
OTU-163552;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;247;2.392696953;63.63636364
OTU-35592;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;163;2.212187604;79.54545455
OTU-133441;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;24;1.380211242;34.09090909
OTU-83391;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;18;1.255272505;13.63636364
OTU-83303;0;0;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;1;1;1;1;1;1;0;1;1;286;2.456366033;56.81818182
OTU-84355;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;1;1;63;1.799340549;29.54545455
OTU-83930;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;1;45;1.653212514;47.72727273
OTU-3683;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;188;2.274157849;84.09090909
OTU-86470;0;0;0;1;1;0;0;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;421;2.624282096;75
OTU-74839;0;1;0;0;1;0;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;53;1.72427587;63.63636364
OTU-177649;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;1;1;1;0;0;1;1;0;44;1.643452676;47.72727273
OTU-22000;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;50;1.698970004;59.09090909
OTU-17873;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;220;2.342422681;97.72727273
OTU-3430;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;306;2.485721426;84.09090909
OTU-2760;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;23;1.361727836;34.09090909
OTU-252957;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;33;1.51851394;27.27272727
OTU-49709;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;1;1;1;0;1;1;81;1.908485019;68.18181818
OTU-683;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;239;2.378397901;81.81818182
OTU-49113;1;1;1;1;0;0;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;68;1.832508913;40.90909091
OTU-25177;1;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;1.278753601;15.90909091
OTU-231793;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1.255272505;9.090909091
OTU-64716;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;1.431363764;13.63636364
